text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	polite	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	politeness	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	becoming	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	unbecoming	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	indelicate	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	indelicacy	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	cautious	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	caution	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	circumspect	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	circumspection	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	restrained	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	unrestrained	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	self-restraint	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sensitive	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sensitiveness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sensible	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	reasonable	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	judicious	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	judiciousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	discreet	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	discretion	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	courteous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	courtesy	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	rash	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	reckless	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	recklessness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impetuous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impetuousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impulsive	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	impulsiveness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	considerate	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	inconsiderate	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	mildness	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	mild	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	gentle	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	gentleness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	ostentation	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	vainglorious	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	pompous	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	pompousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	boastful	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	boast	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	bragging	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	humble	8	8.49256900212e-05
Burke.1790.Reflections on the Revolution of France.txt	humility	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	haughtiness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	haughty	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	supercilious	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	superciliousness	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	conceited	0	0.0
